match,quarter,frame_index,timestamp_sec,partner,confidence,box_x,box_y,box_w,box_h,frame_w,frame_h,coverage_pct,center_x,center_y
Round3,Q1,16,16.0,EMIRATES,0.8323,1808.0,623.6,102.0,71.2,1920,1080,0.35,1859.0,659.2
Round3,Q1,16,16.0,EMIRATES,0.6691,1537.1,210.8,102.8,74.3,1920,1080,0.368,1588.6,248.0
Round3,Q1,16,16.0,EMIRATES,0.5191,1737.0,398.8,44.9,42.4,1920,1080,0.092,1759.5,420.0
Round3,Q1,16,16.0,EMIRATES,0.3187,1570.8,533.1,72.7,16.3,1920,1080,0.057,1607.1,541.2
Round3,Q1,34,34.0,EMIRATES,0.4896,777.8,625.9,23.4,10.3,1920,1080,0.012,789.5,631.0
Round3,Q1,35,35.0,EMIRATES,0.82,774.3,626.3,22.1,10.4,1920,1080,0.011,785.3,631.5
Round3,Q1,36,36.0,EMIRATES,0.8623,772.9,627.7,23.9,10.9,1920,1080,0.013,784.8,633.1
Round3,Q1,37,37.0,EMIRATES,0.5193,777.6,627.2,22.2,10.3,1920,1080,0.011,788.6,632.3
Round3,Q1,37,37.0,EMIRATES,0.496,1244.7,625.3,25.4,9.9,1920,1080,0.012,1257.4,630.2
Round3,Q1,37,37.0,EMIRATES,0.4479,706.8,630.6,16.5,12.3,1920,1080,0.01,715.0,636.8
Round3,Q1,38,38.0,EMIRATES,0.6906,777.6,626.5,21.8,10.8,1920,1080,0.011,788.5,631.9
Round3,Q1,38,38.0,EMIRATES,0.6291,1233.0,621.9,25.9,8.9,1920,1080,0.011,1246.0,626.3
Round3,Q1,38,38.0,EMIRATES,0.5433,708.7,630.3,18.3,13.4,1920,1080,0.012,717.9,637.0
Round3,Q1,39,39.0,EMIRATES,0.8605,772.9,627.6,23.1,10.9,1920,1080,0.012,784.5,633.0
Round3,Q1,39,39.0,EMIRATES,0.7592,710.7,631.1,17.1,14.1,1920,1080,0.012,719.2,638.2
Round3,Q1,40,40.0,EMIRATES,0.846,771.8,626.0,25.2,11.8,1920,1080,0.014,784.4,631.8
Round3,Q1,40,40.0,EMIRATES,0.522,704.8,632.8,17.2,11.9,1920,1080,0.01,713.4,638.7
Round3,Q1,40,40.0,EMIRATES,0.4112,1231.8,623.8,25.5,10.0,1920,1080,0.012,1244.6,628.8
Round3,Q1,41,41.0,EMIRATES,0.8037,772.0,627.7,21.8,10.2,1920,1080,0.011,782.9,632.8
Round3,Q1,41,41.0,EMIRATES,0.6785,696.3,634.5,20.8,13.4,1920,1080,0.013,706.7,641.2
Round3,Q1,42,42.0,EMIRATES,0.7268,697.2,634.4,19.6,15.2,1920,1080,0.014,707.0,642.0
Round3,Q1,43,43.0,EMIRATES,0.8962,983.4,721.1,205.3,65.1,1920,1080,0.645,1086.0,753.6
Round3,Q1,43,43.0,EMIRATES,0.8871,1497.4,1009.9,190.3,69.2,1920,1080,0.635,1592.6,1044.5
Round3,Q1,43,43.0,EMIRATES,0.8854,416.3,845.4,195.4,64.6,1920,1080,0.609,514.0,877.7
Round3,Q1,44,44.0,EMIRATES,0.9053,989.8,742.5,201.5,64.3,1920,1080,0.625,1090.5,774.6
Round3,Q1,44,44.0,EMIRATES,0.8987,406.5,866.6,194.1,64.0,1920,1080,0.599,503.5,898.5
Round3,Q1,44,44.0,EMIRATES,0.8947,1519.5,1038.6,187.2,41.4,1920,1080,0.374,1613.1,1059.3
Round3,Q1,45,45.0,EMIRATES,0.8997,971.8,737.8,211.6,66.3,1920,1080,0.677,1077.6,770.9
Round3,Q1,45,45.0,EMIRATES,0.8878,376.6,863.8,204.4,68.1,1920,1080,0.672,478.8,897.9
Round3,Q1,45,45.0,EMIRATES,0.6911,1598.1,1051.2,131.4,28.8,1920,1080,0.182,1663.8,1065.6
Round3,Q1,46,46.0,EMIRATES,0.8961,978.8,749.4,211.7,67.2,1920,1080,0.686,1084.7,783.0
Round3,Q1,46,46.0,EMIRATES,0.8936,378.8,876.8,206.6,66.5,1920,1080,0.663,482.1,910.1
Round3,Q1,53,53.0,EMIRATES,0.8948,706.0,656.6,316.1,118.6,1920,1080,1.808,864.1,715.9
Round3,Q1,54,54.0,EMIRATES,0.8988,747.1,651.6,301.9,114.7,1920,1080,1.67,898.1,709.0
Round3,Q1,54,54.0,EMIRATES,0.8444,1512.9,887.5,250.8,81.1,1920,1080,0.981,1638.3,928.1
Round3,Q1,55,55.0,EMIRATES,0.8984,722.6,664.2,290.8,112.4,1920,1080,1.576,868.0,720.4
Round3,Q1,56,56.0,EMIRATES,0.9055,736.7,651.8,271.8,103.6,1920,1080,1.358,872.7,703.6
Round3,Q1,57,57.0,EMIRATES,0.8881,728.1,641.4,271.4,107.1,1920,1080,1.402,863.8,694.9
Round3,Q1,57,57.0,EMIRATES,0.8004,1417.2,848.2,210.3,68.9,1920,1080,0.698,1522.3,882.6
Round3,Q1,58,58.0,EMIRATES,0.8912,720.7,647.3,252.7,99.0,1920,1080,1.206,847.0,696.8
Round3,Q1,59,59.0,EMIRATES,0.9006,751.7,635.2,238.5,90.2,1920,1080,1.037,871.0,680.3
Round3,Q1,60,60.0,EMIRATES,0.8959,767.9,622.4,233.7,91.6,1920,1080,1.032,884.7,668.2
Round3,Q1,60,60.0,EMIRATES,0.8621,1356.0,804.3,184.2,60.7,1920,1080,0.54,1448.1,834.6
Round3,Q1,61,61.0,EMIRATES,0.8923,805.0,604.6,217.6,85.4,1920,1080,0.896,913.8,647.3
Round3,Q1,61,61.0,EMIRATES,0.696,1877.8,475.1,42.1,62.4,1920,1080,0.127,1898.9,506.3
Round3,Q1,61,61.0,EMIRATES,0.4099,1356.2,778.2,180.3,57.5,1920,1080,0.5,1446.4,807.0
Round3,Q1,62,62.0,EMIRATES,0.8972,794.4,591.2,200.9,68.9,1920,1080,0.668,894.9,625.7
Round3,Q1,62,62.0,EMIRATES,0.8403,1328.1,752.9,174.8,58.9,1920,1080,0.497,1415.5,782.4
Round3,Q1,62,62.0,EMIRATES,0.7703,1841.8,474.9,78.0,63.3,1920,1080,0.238,1880.8,506.5
Round3,Q1,63,63.0,EMIRATES,0.8843,601.7,539.9,206.0,54.6,1920,1080,0.542,704.6,567.2
Round3,Q1,63,63.0,EMIRATES,0.8815,1760.6,436.1,158.8,59.8,1920,1080,0.458,1840.0,466.0
Round3,Q1,63,63.0,EMIRATES,0.8742,1205.6,707.9,179.8,58.8,1920,1080,0.51,1295.5,737.3
Round3,Q1,64,64.0,EMIRATES,0.8918,1738.5,465.7,180.5,58.1,1920,1080,0.506,1828.8,494.7
Round3,Q1,64,64.0,EMIRATES,0.884,1239.4,692.5,192.4,63.8,1920,1080,0.592,1335.6,724.4
Round3,Q1,64,64.0,EMIRATES,0.884,0.3,711.1,116.7,57.6,1920,1080,0.324,58.6,739.8
Round3,Q1,65,65.0,EMIRATES,0.8964,1029.5,482.2,168.0,53.1,1920,1080,0.43,1113.5,508.7
Round3,Q1,65,65.0,EMIRATES,0.8835,1768.9,647.1,148.4,53.9,1920,1080,0.386,1843.1,674.1
Round3,Q1,65,65.0,EMIRATES,0.8354,0.1,684.5,75.1,39.9,1920,1080,0.145,37.7,704.5
Round3,Q1,65,65.0,EMIRATES,0.4382,1239.2,530.3,99.6,47.3,1920,1080,0.227,1289.0,554.0
Round3,Q1,66,66.0,EMIRATES,0.9091,43.4,619.9,181.5,51.6,1920,1080,0.452,134.2,645.7
Round3,Q1,66,66.0,EMIRATES,0.8872,797.8,549.3,103.0,47.6,1920,1080,0.236,849.3,573.1
Round3,Q1,66,66.0,EMIRATES,0.8771,511.7,608.4,78.6,52.0,1920,1080,0.197,551.0,634.4
Round3,Q1,66,66.0,EMIRATES,0.842,1333.4,581.5,143.7,64.9,1920,1080,0.45,1405.2,613.9
Round3,Q1,66,66.0,EMIRATES,0.7992,1856.4,593.6,63.2,50.8,1920,1080,0.155,1888.0,619.0
Round3,Q1,70,70.0,EMIRATES,0.9066,386.5,800.0,68.5,43.9,1920,1080,0.145,420.7,821.9
Round3,Q1,70,70.0,EMIRATES,0.8944,626.0,381.4,120.4,35.7,1920,1080,0.207,686.2,399.3
Round3,Q1,70,70.0,EMIRATES,0.8814,1645.4,990.7,115.7,35.5,1920,1080,0.198,1703.3,1008.5
Round3,Q1,70,70.0,EMIRATES,0.8785,1066.9,585.9,42.0,44.3,1920,1080,0.09,1087.9,608.0
Round3,Q1,70,70.0,EMIRATES,0.8769,1297.0,428.2,77.2,32.1,1920,1080,0.119,1335.6,444.3
Round3,Q1,70,70.0,EMIRATES,0.8675,933.5,440.0,41.9,47.9,1920,1080,0.097,954.4,464.0
Round3,Q1,70,70.0,EMIRATES,0.8472,1504.5,412.6,56.1,37.4,1920,1080,0.101,1532.6,431.3
Round3,Q1,70,70.0,EMIRATES,0.8419,0.0,265.9,37.1,47.3,1920,1080,0.085,18.6,289.5
Round3,Q1,70,70.0,EMIRATES,0.3162,0.0,727.6,24.4,57.4,1920,1080,0.067,12.2,756.3
Round3,Q1,71,71.0,EMIRATES,0.9025,53.3,770.3,116.1,35.8,1920,1080,0.2,111.4,788.2
Round3,Q1,71,71.0,EMIRATES,0.8877,1567.1,680.5,96.6,33.9,1920,1080,0.158,1615.4,697.5
Round3,Q1,71,71.0,EMIRATES,0.8876,232.4,902.5,71.8,42.6,1920,1080,0.148,268.4,923.8
Round3,Q1,71,71.0,EMIRATES,0.8506,378.6,876.5,105.9,38.4,1920,1080,0.196,431.6,895.7
Round3,Q1,71,71.0,EMIRATES,0.8445,917.3,612.4,44.6,50.9,1920,1080,0.11,939.6,637.9
Round3,Q1,71,71.0,EMIRATES,0.7778,847.1,325.4,38.5,42.1,1920,1080,0.078,866.3,346.4
Round3,Q1,71,71.0,EMIRATES,0.7545,1110.3,353.4,53.9,38.8,1920,1080,0.101,1137.3,372.8
Round3,Q1,72,72.0,EMIRATES,0.9002,362.2,718.0,65.9,49.0,1920,1080,0.156,395.2,742.5
Round3,Q1,72,72.0,EMIRATES,0.8886,892.0,356.6,115.1,39.0,1920,1080,0.217,949.5,376.1
Round3,Q1,73,73.0,EMIRATES,0.8995,905.3,568.1,71.3,69.5,1920,1080,0.239,940.9,602.9
Round3,Q1,73,73.0,EMIRATES,0.89,1073.3,996.2,68.7,54.4,1920,1080,0.18,1107.7,1023.4
Round3,Q1,73,73.0,EMIRATES,0.525,0.0,772.1,14.7,46.7,1920,1080,0.033,7.3,795.4
Round3,Q1,74,74.0,EMIRATES,0.885,1492.9,1015.1,106.9,59.8,1920,1080,0.308,1546.3,1045.0
Round3,Q1,74,74.0,EMIRATES,0.8545,528.6,508.9,61.0,58.4,1920,1080,0.172,559.2,538.1
Round3,Q1,75,75.0,EMIRATES,0.8629,0.0,1032.7,62.0,47.3,1920,1080,0.141,31.0,1056.3
Round3,Q1,75,75.0,EMIRATES,0.3996,1044.2,219.7,179.8,38.7,1920,1080,0.336,1134.1,239.0
Round3,Q1,76,76.0,EMIRATES,0.9058,982.0,583.2,128.6,51.1,1920,1080,0.317,1046.3,608.8
Round3,Q1,77,77.0,EMIRATES,0.9063,1062.3,535.7,84.1,43.8,1920,1080,0.178,1104.4,557.6
Round3,Q1,77,77.0,EMIRATES,0.8228,1679.9,1028.5,60.8,51.5,1920,1080,0.151,1710.3,1054.2
Round3,Q1,79,79.0,EMIRATES,0.4927,1079.8,706.5,64.5,47.9,1920,1080,0.149,1112.1,730.4
Round3,Q1,81,81.0,EMIRATES,0.4796,903.4,587.1,63.3,28.6,1920,1080,0.087,935.0,601.4
Round3,Q1,85,85.0,EMIRATES,0.8868,531.0,367.0,52.8,18.8,1920,1080,0.048,557.4,376.5
Round3,Q1,85,85.0,EMIRATES,0.8809,696.2,435.4,48.2,15.0,1920,1080,0.035,720.3,442.9
Round3,Q1,85,85.0,EMIRATES,0.8709,1419.3,402.2,41.7,17.6,1920,1080,0.035,1440.1,411.0
Round3,Q1,85,85.0,EMIRATES,0.864,1125.0,398.3,48.2,21.3,1920,1080,0.05,1149.1,409.0
Round3,Q1,86,86.0,EMIRATES,0.891,1508.5,381.3,47.5,17.9,1920,1080,0.041,1532.3,390.3
Round3,Q1,86,86.0,EMIRATES,0.8884,658.9,407.7,47.3,16.0,1920,1080,0.036,682.5,415.7
Round3,Q1,86,86.0,EMIRATES,0.8812,1154.9,396.2,48.3,18.0,1920,1080,0.042,1179.0,405.2
Round3,Q1,86,86.0,EMIRATES,0.8734,747.8,366.2,43.0,14.8,1920,1080,0.031,769.3,373.6
Round3,Q1,87,87.0,EMIRATES,0.8925,1157.3,356.8,44.1,14.2,1920,1080,0.03,1179.3,363.9
Round3,Q1,87,87.0,EMIRATES,0.8847,652.7,405.2,44.9,15.2,1920,1080,0.033,675.2,412.8
Round3,Q1,87,87.0,EMIRATES,0.8738,1473.5,340.1,40.7,14.1,1920,1080,0.028,1493.8,347.2
Round3,Q1,87,87.0,EMIRATES,0.8589,720.1,330.2,43.5,16.1,1920,1080,0.034,741.9,338.3
Round3,Q1,87,87.0,EMIRATES,0.8569,902.7,337.8,41.6,16.6,1920,1080,0.033,923.5,346.1
Round3,Q1,88,88.0,EMIRATES,0.8964,1501.0,309.2,37.0,12.3,1920,1080,0.022,1519.5,315.3
Round3,Q1,88,88.0,EMIRATES,0.8875,1257.2,370.4,42.3,18.1,1920,1080,0.037,1278.4,379.4
Round3,Q1,88,88.0,EMIRATES,0.8673,777.7,413.1,41.0,15.4,1920,1080,0.03,798.2,420.7
Round3,Q1,88,88.0,EMIRATES,0.857,1114.2,306.1,34.0,13.5,1920,1080,0.022,1131.2,312.9
Round3,Q1,88,88.0,EMIRATES,0.8558,954.7,307.1,34.8,13.0,1920,1080,0.022,972.1,313.6
Round3,Q1,88,88.0,EMIRATES,0.3301,171.7,307.9,40.2,12.4,1920,1080,0.024,191.7,314.2
Round3,Q1,89,89.0,EMIRATES,0.857,1317.1,407.8,36.1,12.0,1920,1080,0.021,1335.1,413.8
Round3,Q1,89,89.0,EMIRATES,0.8552,893.9,433.3,34.9,11.8,1920,1080,0.02,911.4,439.2
Round3,Q1,89,89.0,EMIRATES,0.7954,1105.1,319.0,30.9,11.5,1920,1080,0.017,1120.6,324.8
Round3,Q1,89,89.0,EMIRATES,0.7806,1216.0,330.5,29.3,10.6,1920,1080,0.015,1230.6,335.9
Round3,Q1,89,89.0,EMIRATES,0.7079,578.6,304.8,29.4,12.0,1920,1080,0.017,593.3,310.8
Round3,Q1,89,89.0,EMIRATES,0.6926,1453.1,315.5,25.6,10.5,1920,1080,0.013,1465.9,320.7
Round3,Q1,89,89.0,EMIRATES,0.3155,220.7,163.0,27.4,9.3,1920,1080,0.012,234.4,167.6
Round3,Q1,90,90.0,EMIRATES,0.8215,811.7,339.9,27.9,10.3,1920,1080,0.014,825.7,345.1
Round3,Q1,90,90.0,EMIRATES,0.8123,134.9,1.7,28.7,118.2,1920,1080,0.164,149.2,60.9
Round3,Q1,90,90.0,EMIRATES,0.8084,1439.7,340.2,24.2,9.7,1920,1080,0.011,1451.8,345.1
Round3,Q1,90,90.0,EMIRATES,0.7924,701.6,4.2,25.6,119.6,1920,1080,0.148,714.4,64.0
Round3,Q1,90,90.0,EMIRATES,0.7518,1185.8,347.1,24.9,9.0,1920,1080,0.011,1198.2,351.6
Round3,Q1,90,90.0,EMIRATES,0.6603,1002.1,462.0,30.0,11.0,1920,1080,0.016,1017.1,467.5
Round3,Q1,90,90.0,EMIRATES,0.4924,1344.6,419.1,29.8,10.0,1920,1080,0.014,1359.5,424.1
Round3,Q1,90,90.0,EMIRATES,0.3173,1291.4,342.0,25.7,9.7,1920,1080,0.012,1304.2,346.9
Round3,Q1,91,91.0,EMIRATES,0.8453,870.3,34.5,22.8,107.8,1920,1080,0.118,881.7,88.4
Round3,Q1,91,91.0,EMIRATES,0.6929,1085.6,473.9,27.2,9.8,1920,1080,0.013,1099.2,478.8
Round3,Q1,91,91.0,EMIRATES,0.6812,975.9,355.6,24.9,9.2,1920,1080,0.011,988.4,360.2
Round3,Q1,91,91.0,EMIRATES,0.6351,1474.6,341.9,23.2,8.7,1920,1080,0.01,1486.2,346.3
Round3,Q1,91,91.0,EMIRATES,0.3394,1288.1,356.4,22.4,8.7,1920,1080,0.009,1299.3,360.8
Round3,Q1,91,91.0,EMIRATES,0.303,1408.8,453.3,28.3,10.5,1920,1080,0.014,1423.0,458.6
Round3,Q1,92,92.0,EMIRATES,0.8397,104.9,4.0,22.0,98.5,1920,1080,0.105,115.9,53.3
Round3,Q1,92,92.0,EMIRATES,0.8259,553.6,6.2,21.0,100.7,1920,1080,0.102,564.1,56.5
Round3,Q1,92,92.0,EMIRATES,0.6831,1121.9,441.9,26.3,8.4,1920,1080,0.011,1135.1,446.1
Round3,Q1,92,92.0,EMIRATES,0.5384,1343.8,314.5,22.0,8.1,1920,1080,0.009,1354.7,318.5
